상품명,브랜드,가격,상품URL,이미지URL
"""✨빛나는 그대에게✨"" [본사직영] 볼빅 뉴 골드에디션 솔리체 프리미엄 5알+골드볼마커 (쇼핑백 증정)",볼빅,"44,000원",https://gift.kakao.com/product/2163862,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20241230091808_275168ddb48646269e2ab2f23671dce4.jpg
"[골프선물추천] ""골프선물 인기아이템"" [친구가골라요!] PXG/지포어 골프선물 골프모자 골프장갑 인기 아이템 택1",골프선물,"50,000원",https://gift.kakao.com/product/7579727,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20231122172554_607e61ffa5e843d08ba47184668670a3.jpg
"""✨골프선물추천✨"" [본사직영] 볼빅 VIVID 무광 레인보우 골프공 7구 + 컨트롤 골프티 선물세트",볼빅,"38,000원",https://gift.kakao.com/product/10726348,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20241104153918_6ee98e9eab3e462ca9d2e2ab7ccf44bd.jpg
볼빅 AI 트랙 우레탄 3피스 골프공 1다즌 12구-JIN,볼빅,"32,800원",https://gift.kakao.com/product/10550570,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20241002161712_eae38eefde254934bc76e85a4ceca1f2.jpg
"""센스있는 선물"" [볼빅] 생일케이크 골프공 선물세트/3피스 골프공/4구 볼마커 세트/골프선물",볼빅,"28,900원",https://gift.kakao.com/product/7900901,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""골프선물 인기아이템"" [볼빅] 뷰티풀 라이프 나이스샷 케이크 선물세트 골프공 8구+볼타월 / 볼빅 NEW 3PIECE 골프공/ 골프선물",볼빅,"50,000원",https://gift.kakao.com/product/9862923,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""방향제 인기선물✨"" [선물포장] 차량용 방향제 (2종 택1)",위글위글 스포츠,"31,800원",https://gift.kakao.com/product/7518758,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""✨25년대박선물✨"" [볼빅] 2025년 프리즘360 신년볼 청사 푸른뱀 에디션 3피스 골프공 12구",볼빅,"50,000원",https://gift.kakao.com/product/10660510,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""HAPPY B-DAY"" 생일축하 각인 골프공 10구 선물세트",골프공,"23,000원",https://gift.kakao.com/product/6808765,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""✨골프3종선물세트✨"" [본사직영] 볼빅 디즈니 골프 선물세트 골프공4구+볼마커+볼파우치",볼빅,"37,000원",https://gift.kakao.com/product/9423336,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[갤러리아] [볼빅정품] NEW 미라클 골프공 2피스 12알_G,볼빅,"18,890원",https://gift.kakao.com/product/6478283,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
