상품명,브랜드,가격,상품URL,이미지URL
"""진짜 잘먹어!"" 페페로니 진짜시리즈 6개 세트(소고기+연어+닭고기+치즈고구마+미역+고구마)",페페로니,"36,000원",https://gift.kakao.com/product/5009362,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250324103034_ddbed5c301a34a3791a7de7aea3a1d67.jpg
"""진짜 강아지간식"" 페페로니 진짜 오메가3 연어+소고기 세트",페페로니,"12,000원",https://gift.kakao.com/product/4180433,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20220314121109_8652a725f17145b8a57fe751283c4260.jpg
"""진짜 강아지간식"" 페페로니 진짜 오메가3 연어+소고기+닭고기 세트",페페로니,"17,000원",https://gift.kakao.com/product/5575554,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20220920113048_4bd1591cb460483c9b4b1af6977876a7.jpg
"""하루 한컵의 건강"" 와그작 하루 한컵 선물세트 16개입 (4종*4P)",와그작,"28,500원",https://gift.kakao.com/product/6343514,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20221229110049_8de5a3f97ed64bb7a6c18fc41f5ad001.png
도전! 농장 타이쿤 노즈워크 강아지 장난감,바잇미,"34,900원",https://gift.kakao.com/product/9023062,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""강아지선물"" 찐간식 바스락 삑삑이 강아지 장난감 세트 선물포장",울리,"10,900원",https://gift.kakao.com/product/11329013,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""강아지 보양식선물"" [댕댕이 보양식] 더리얼 레시피 삼계탕 200g*4팩",하림펫푸드,"25,300원",https://gift.kakao.com/product/1177900,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[발을씻자X시리우스] 강아지 발씻자 더블세트 (강아지용 풋샴푸2개) + 쇼핑백 증정,발을씻자(펫),"15,900원",https://gift.kakao.com/product/9968079,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""선물 만족도100%"" 올데이보드 대형 스크래쳐",두잇,"28,900원",https://gift.kakao.com/product/4829695,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
고양이를 위한 선물! 해먹과 스크래쳐의 콜라보 스크래쳐 타워,도그웨그,"43,900원",https://gift.kakao.com/product/6413413,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""귀염뽀짝!"" 베니즈 스프링 크롭 탑 강아지옷 봄옷 여름옷 블루/옐로우 (S~XL)",베니즈(의류),"17,900원",https://gift.kakao.com/product/11336529,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""누적판매 15만권!"" 노즈워크 플레이북 골라담기 (5종 택1)",바잇미,"27,900원",https://gift.kakao.com/product/10801711,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""우리 댕댕이 생일 축하해"" 더리얼 퀴진 소고기 미역국 100g*3개",하림펫푸드,"13,600원",https://gift.kakao.com/product/6410308,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20230702142705_06a1c5cb5ce14ec9b9340469dfc86901.jpg
"""고양이가 좋아하는 선물"" 색감 천재 당근 스크래쳐",도그웨그,"34,900원",https://gift.kakao.com/product/2538228,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20210727113542_d72c33de24874eebaa976d1e18a302ef.jpg
[강아지 보양식] 더리얼 퀴진 삼계죽 100g*3 / 강아지 특식 간식,하림펫푸드,"18,600원",https://gift.kakao.com/product/2517396,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20230702142811_f68c575b19224653bfe8e0f0b3a41bd1.jpg
"""편안한 외출 필수품"" 울리 강아지 캐리어 기내용 숨쉬는 이동가방",울리,"77,900원",https://gift.kakao.com/product/10033995,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240704161520_6edf3b32716e4ac4be6d4af87fc59d4e.jpg
"""매일 신선한 간식"" 와그작 고양이는 더 좋아해 동결건조 선물세트 (4종 각3개입)",와그작,"25,000원",https://gift.kakao.com/product/8345161,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240108111403_f9767684f29c4cd6b429176fe7c58d1b.jpg
"""블랙데이 맞춤 선물"" [댕댕이 중화요리 세트] 더리얼 유니자장면 70g + 더리얼 닭고기 만두 100g",하림펫푸드,"12,600원",https://gift.kakao.com/product/6910445,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240619170314_ddf1c84033f74bfebca7b68ce2cf6749.jpg
"""강아지 커플룩"" 반려견과 함께 입는 패밀리룩 스케이터 로고 그래픽 보호자용 티셔츠",하이파이브모먼츠,"52,000원",https://gift.kakao.com/product/10568823,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20241007134247_b1bb390c4bcf40ed9fcb3ffedaf25719.jpg
"""행운 배달 왔어요~"" 바잇미X최고심 행운 다람쥐 노즈워크 장난감",바잇미,"17,900원",https://gift.kakao.com/product/5046065,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250401113654_0093b077c2a24203b0f30b2f13287413.jpg
[페스룸x위글위글] 웰 핏 테이블&보울(1EA) + 슬로우 피더 강아지 고양이 식기,페스룸,"63,900원",https://gift.kakao.com/product/6402668,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20230111120521_53b41be48e4647cc8cb34e20bc65a86d.jpg
[페스룸] 파인 크랙 두부 (오리지널_6개입) 프리미엄 고양이모래 먼지차단,페스룸,"57,900원",https://gift.kakao.com/product/5404441,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20220819105743_b7a4a747546c4d4094dd279e4d4bcd62.jpg
"""S부터 6XL까지"" 대형견도 함께 입는 스케이터 로고 그래픽 반려견 티셔츠",하이파이브모먼츠,"36,000원",https://gift.kakao.com/product/10568647,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20241004175033_cf600aca482841f9818757740f484915.jpg
"""포근한 잠자리 선물"" ""편안한 휴식 선물"" 포근한 펫빈백 방석 쿠션 L",울리,"26,900원",https://gift.kakao.com/product/2314739,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240313111801_0b6339ddbb69416a9c2c6945b0f246c6.jpg
퍼펙트 케어 세트 (힐링브러쉬+슬리커브러쉬+페이셜콤),페스룸,"39,900원",https://gift.kakao.com/product/9436039,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
