상품명,브랜드,가격,상품URL,이미지URL
예산 사과와인 추사 40도 200ml (40%) / 사과 증류주,술마켓,"27,000원",https://gift.kakao.com/product/2266321,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20230905110419_0d1d4dbd7b08440fbeb0f1f35f85c189.JPG
[박재서명인] 안동소주 양반탈 400ml (도수45%),소주/증류주,"27,600원",https://gift.kakao.com/product/621200,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20210305160810_85fe6113bcd24b14bb2b079515658e80.jpg
"""고마운 마음 전하기"" 복순도가 손막걸리 1병+빨간쌀 막걸리 1병",탁주,"28,000원",https://gift.kakao.com/product/5312001,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240315092044_8dc9b1a78e8a4d019333f3189e9fcbad.png
[콜라보] 로드나인 x 복순도가 찹쌀탁주 9도 세트,탁주,"41,000원",https://gift.kakao.com/product/11373643,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250321104821_0e0a20162bd94780b0dc9c7f1747cac7.jpg
"전국여행세트_서울의밤,김포특주,감자술,밀담17,공주굿밤,흥진복분자,니모메",술마켓,"39,600원",https://gift.kakao.com/product/4912369,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"40240 독도 샷 글라스 독도소주세트 500mlx2병 27도x1병, 37도x1병 (soolmarket)",술마켓,"57,200원",https://gift.kakao.com/product/10377782,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""보자기포장""오디와인 세트 750ml (13%) / 1병 + 와인잔 2개 + 쇼핑백",와인/과실주,"30,400원",https://gift.kakao.com/product/701822,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
실속소주세트 독도17 외 6종 토닉600증정,술마켓,"29,700원",https://gift.kakao.com/product/3653304,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[어버이날 술 선물세트] 느린마을 옹기막걸리 세트 (7%) 1980ml 전통주 선물포장 가정의달,배상면주가,"31,500원",https://gift.kakao.com/product/1193321,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
일엽편주 약주 375ml (15%),전통주LuX,"37,000원",https://gift.kakao.com/product/6406095,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
금설35 선물세트 (35%) / 금설35 + 미니어처 + 전용잔2개 + LED등_나무잔 증정,소주/증류주,"55,200원",https://gift.kakao.com/product/6396195,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""봄향기가득""오디와인 세트 750ml (13%) / 1병 + 와인잔 2개 + 쇼핑백",와인/과실주,"28,800원",https://gift.kakao.com/product/647164,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
고도리와이너리 황금 복숭아 와인 6.5도 375ml (고도리 와이너리),와인/과실주,"24,000원",https://gift.kakao.com/product/1068754,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
청와대 선정 전통주 모음 / 문배술25 이강주19 솔송주13 한산소곡주16 오봉도세트 (soolmarket),술마켓,"37,200원",https://gift.kakao.com/product/2164572,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""2019 청와대선물"" 한산소곡주 천상문 500ml (18%) 선물세트 / 도자기잔 2개",청주/약주,"32,900원",https://gift.kakao.com/product/616396,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
금산인삼주 금설35 375ml (35%) / 나무잔 증정,소주/증류주,"33,100원",https://gift.kakao.com/product/2288652,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
내장산복분자주 NEW 선물9호 (16%) / 360ml 3병 + 50ml 1병 + 잔2,와인/과실주,"32,000원",https://gift.kakao.com/product/616428,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
고창 서해안 복분자주 선운 특주세트 330ml x3병_잔 2 (고창서해안복분자),와인/과실주,"32,000원",https://gift.kakao.com/product/8496311,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
전통주애 오늘의 전통주 180ml 9종 종합 선물 세트,전통주애,"41,600원",https://gift.kakao.com/product/1189391,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
40240 독도소주 37도 375ml 해양심층수 (soolmarket),술마켓,"21,510원",https://gift.kakao.com/product/9702144,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
산들벗 25년 생일 별자리 와인 에디션 선물세트 750ml (12%) / 2병 (머루+석류),와인/과실주,"37,800원",https://gift.kakao.com/product/1114330,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
고창 복분자주 선물세트 500mlX2병+잔1개(도수18%) (고창명산품 복분자),와인/과실주,"50,000원",https://gift.kakao.com/product/653720,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
해창주조 해창 12도 찹쌀생막걸리 900ml (12%) / 2병,술마켓,"32,400원",https://gift.kakao.com/product/2503248,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
이화백주 막걸리 940ml (6%) / 청와대 공식 만찬주 / 3병,전통주LuX,"36,000원",https://gift.kakao.com/product/625162,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[각인서비스&선물] 뱅꼬레 각인 로제 와인 선물세트_750ml (Alc 11.5%),와인/과실주,"39,000원",https://gift.kakao.com/product/2291351,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"안동소주 일품세트 350ml (17%, 21%, 40%) / 3병 + 샷잔2개 (soolmarket)",술마켓,"22,000원",https://gift.kakao.com/product/5192583,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
토끼소주화이트23도 375ml 토끼소주 케이스 증정 (soolmarket),술마켓,"22,000원",https://gift.kakao.com/product/2312089,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[탁월 생막걸리] 경주 천연탄산 막걸리 3종 선물세트 - 15일간의 저온장기발효된 프리미엄 막걸리,탁주,"32,300원",https://gift.kakao.com/product/10919157,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[어버이날 술선물세트] 세레모니주 오매락 퍽 500ml(40%) 전통주 매실주 선물포장 가정의달,배상면주가,"56,700원",https://gift.kakao.com/product/622437,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[선물포장] 복순도가 손막걸리 1병+빨간쌀 막걸리 1병 선물세트,탁주,"31,000원",https://gift.kakao.com/product/7432489,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""감사한 마음 전하기"" 복순도가 손막걸리 935ml 3병",탁주,"36,000원",https://gift.kakao.com/product/690189,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[술선물세트] 느린마을 홈술 술독 에디션(막걸리3종+육전+전용잔세트),배상면주가,"27,900원",https://gift.kakao.com/product/1282268,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[박재서명인] 안동소주 호리병 800ml (도수45%),소주/증류주,"36,500원",https://gift.kakao.com/product/621197,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""토닉워터 증정"" 우주술 파티주 블링블링 바다별,노을별,모래별 375ml (도수15%) / 영덕주조 전통주 특산주",리큐르주,"23,750원",https://gift.kakao.com/product/2254384,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
애플린 사과 화이트 와인 750ml (12%),와인/과실주,"28,000원",https://gift.kakao.com/product/2228097,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""감사한 마음 전하기"" 복순도가 손막걸리 935ml 1병",탁주,"16,000원",https://gift.kakao.com/product/1131492,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
일엽편주 탁주 720ml (12%),전통주LuX,"37,000원",https://gift.kakao.com/product/6409804,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20230112150315_08ee1a675cdb4193b48b019823e2f88a.jpg
"""고마운 마음 전하기"" 복순도가 손막걸리 1병+빨간쌀 막걸리 1병+슈퍼드라이 1병 세트",탁주,"42,000원",https://gift.kakao.com/product/5312008,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20220801175217_773e730962ae496ca107076ddb574efe.jpg
"""✨당일택배발송✨"" 너브내 스파클링와인 로제스위트 (달콤한 샴페인) 12% 750ml 생일 결혼기념일 축하 와인선물추천",와인/과실주,"49,000원",https://gift.kakao.com/product/1294477,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20230427124426_26d34fd90c974e1aa08a8ca1162a9450.jpg
담은 막걸리 화이트 2병+블랙 1병 혼합세트 (750ml X 3병) (6.5%),탁주,"37,000원",https://gift.kakao.com/product/7685857,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250116171936_4a8d3b2d1933469faa963716401420eb.jpg
