상품명,브랜드,가격,상품URL,이미지URL
"최적의 산지만, 프리미엄 함안 수박 5~6kg(12Brix/특품)",온브릭스,"29,900원",https://gift.kakao.com/product/2446202,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250317133553_cade8121eab44a82860ce9a7e26aa85d.jpg
[수플린] 새콤달콤 쫀득한 프리미엄 고당도 애플망고 총 2.1KG 이상 (4~6입/로얄과),수플린,"34,900원",https://gift.kakao.com/product/7630727,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250131123837_d7743a0b260a43c1a15753c4b1e8346a.jpg
[탐라왕] 고당도 제주 천혜향 선물세트 2.5kg 로얄과(8-12입),탐라왕,"29,900원",https://gift.kakao.com/product/8224436,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250114182850_075441a1caf34d10870f737a0f196f91.png
"""✈항공직송✈"" [수플린] 프리미엄 태국 골드망고 3kg (로얄과/7~9입)",수플린,"27,900원",https://gift.kakao.com/product/4836579,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250407143248_7e3efc1216b3433780cbad46a607f0cc.jpg
[원월드] 프리미엄 고당도 애플망고&골드망고 과일선물세트 2kg (로얄과/5~6입),원월드,"29,900원",https://gift.kakao.com/product/2153114,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[수플린] 프리미엄 샤인머스켓1입&애플망고3입 과일선물세트 (총 1.8KG이상),수플린,"34,900원",https://gift.kakao.com/product/11296357,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
딜리셔스한 맛 제스프리 골드키위 선물세트 20입(2.5kg)+감사한마음 토퍼증정,미과,"26,800원",https://gift.kakao.com/product/9794758,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"[파머스기프트] 프리미엄 과일선물세트7종 올리브3호 (멜론,애플망고)3.9kg이상",온브릭스,"54,800원",https://gift.kakao.com/product/2407379,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[수플린] 달콤상큼 애플망고 4입&태국골드망고 4입 총 3.2KG 이상,수플린,"37,900원",https://gift.kakao.com/product/11120819,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[탐라왕] 고당도 제주 천혜향 2kg (로얄과/10~12입),탐라왕,"17,900원",https://gift.kakao.com/product/2266805,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
